g_key,i_key,ra,dec,g_mag,i_mag,color,mag_err,match_distance
20251017135-101,20251017135-812,260.0299940456272,57.92885481046764,17.29784890817261,16.15353652783203,1.1443123803405797,0.018051328999999998,1.5710942299895427e-05
20251017135-101,20251017135-812,259.9400644194979,58.103645735143175,14.042140908172609,13.55284452783203,0.4892963803405781,0.007940283499999999,8.730018425456874e-05
20251017135-101,20251017135-812,259.81908581997754,57.94471253825441,15.849893908172609,15.29238252783203,0.5575113803405785,0.014867815999999999,0.00020851049321550646
20251017135-101,20251017135-812,259.8622056467444,57.98918607988969,10.78962590817261,10.247727527832032,0.5418983803405784,0.018066643,0.00011574643210945146
20251017135-101,20251017135-812,259.93032415812627,58.072684358437265,16.75093190817261,16.16066352783203,0.5902683803405822,0.0153480863,7.186348520222738e-05
20251017135-101,20251017135-812,259.8857090556296,58.012142029018705,14.47874990817261,14.17211252783203,0.30663738034057886,0.0050797456,0.00011690020898214722
20251017135-101,20251017135-812,259.95454053440346,58.07548307420846,18.50365790817261,17.22920452783203,1.274453380340578,0.045316738,9.890961617179784e-05
20251017135-101,20251017135-812,259.89487390816305,58.000453199630506,16.804193908172607,15.90838302783203,0.8958108803405764,0.017815130999999998,0.00010567636087778218
20251017135-101,20251017135-812,259.8977285187095,57.979588390168416,17.93093690817261,16.56921252783203,1.3617243803405827,0.033210979,0.00012454519449900387
20251017135-101,20251017135-812,259.9644053751132,58.05140535355888,16.259184908172607,15.39839652783203,0.8607883803405763,0.0103644037,7.524120001578062e-05
20251017135-101,20251017135-812,259.99387119793994,58.08049102033047,17.20280990817261,16.57483052783203,0.6279793803405802,0.018886324000000003,8.442724653736055e-05
20251017135-101,20251017135-812,259.94787781762284,58.021333816997284,18.28774290817261,17.20059852783203,1.087144380340579,0.035090751,8.576065568709237e-05
20251017135-101,20251017135-812,259.9615811501247,58.02443419764438,16.28651290817261,15.37802452783203,0.9084883803405805,0.011351816300000001,5.6355644769455395e-05
20251017135-101,20251017135-812,259.9707860875854,58.03109357410072,13.29848990817261,12.87941252783203,0.4190773803405783,0.0038893037,4.627575056844035e-05
20251017135-101,20251017135-812,259.92656245487876,57.97715118283996,17.757333908172612,16.36549052783203,1.3918433803405819,0.025759333000000002,0.00010649185011977414
20251017135-101,20251017135-812,259.8999944034024,57.94138426741169,17.970245908172608,16.636073527832032,1.3341723803405756,0.032077086,0.00010059318889184419
20251017135-101,20251017135-812,259.8896713346842,57.926188243742736,17.94474190817261,17.13910252783203,0.8056393803405797,0.054864256,0.00014908439888495676
20251017135-101,20251017135-812,259.9408247938579,57.98326308805832,14.81370190817261,14.16783552783203,0.6458663803405784,0.0056535672,7.053751055677968e-05
20251017135-101,20251017135-812,259.93635400651306,57.96030880488533,17.65003690817261,16.14438752783203,1.5056493803405786,0.02410284,8.909635721679746e-05
20251017135-101,20251017135-812,259.9837836625601,58.01245277506159,16.27502490817261,15.54592652783203,0.7290983803405808,0.0091360395,6.517793977083362e-05
20251017135-101,20251017135-812,260.0354819766188,58.07605034394665,18.25741090817261,17.45211852783203,0.8052923803405783,0.036464380000000005,0.00011269814825519977
20251017135-101,20251017135-812,260.01238015001104,58.04607688900674,17.81655790817261,17.19256152783203,0.6239963803405786,0.0324776135,7.402334147908404e-05
20251017135-101,20251017135-812,259.9658374700075,57.988301561385796,18.033353908172607,16.760676527832032,1.2726773803405749,0.0291466875,9.477753964063569e-05
20251017135-101,20251017135-812,259.9311381383543,57.942607263155125,18.40857790817261,17.265143027832032,1.1434348803405783,0.042947974,9.576817119871187e-05
20251017135-101,20251017135-812,259.93638810189293,57.946323545929054,16.68763190817261,15.968125527832031,0.7195063803405777,0.015975599,8.696731886539533e-05
20251017135-101,20251017135-812,259.96851426549335,57.98082544346535,16.78819090817261,15.264017527832031,1.524173380340578,0.0136581739,6.882275813334599e-05
20251017135-101,20251017135-812,259.9438356376262,57.948936327283484,17.01778890817261,16.21676602783203,0.8010228803405788,0.019253392,7.716433427684994e-05
